loan_id,customer_age,loan_amount,loan_tenure_months,interest_rate,monthly_income,credit_score,default_within_3m
1,59,475606,36,13.4,2860,537,1
2,49,247932,60,8.5,15265,713,0
3,35,167030,60,7.3,10685,695,0
4,63,534815,12,15.9,4433,493,1
5,28,414819,12,11.1,6117,396,1
6,41,438716,36,14.3,4747,509,1
7,59,610769,60,12.4,6658,514,1
8,39,502336,72,10.9,5556,424,1
9,43,148820,24,10.2,19627,695,1
10,31,235600,48,13.4,11612,687,0
11,31,219160,36,12.5,24787,685,0
12,44,522138,72,14.2,3955,531,1
13,56,115878,60,11.2,19805,652,0
14,60,393460,60,14.3,7675,526,1
15,44,582832,36,15.6,5798,557,0
16,23,668301,36,12.2,2337,590,1
17,42,257636,36,10.1,15331,701,0
18,22,561037,24,10.9,2064,516,1
19,44,146433,60,13.5,11695,708,0
20,64,642908,60,16.4,7892,487,1
21,50,125409,72,6.8,17392,633,0
22,58,268128,72,11.3,11454,724,0
23,22,513555,48,16.5,4773,500,0
24,41,141540,48,8.1,22773,690,0
25,53,183908,60,11.7,21685,809,0
26,32,515927,60,16.1,3484,515,1
27,42,488687,36,9.3,7116,540,0
28,64,428666,36,15.5,3678,537,1
29,45,516741,24,12,3722,530,1
30,47,445975,72,16.6,3597,558,1
31,62,187741,48,14.2,12627,712,0
32,48,280353,36,16.7,4038,555,1
33,36,184154,48,10.8,10306,760,0
34,35,584999,48,15.8,2709,415,1
35,64,423344,36,15.2,7353,523,0
36,23,298305,24,8.3,26879,696,0
37,57,389942,48,14.7,6659,507,1
38,27,581023,36,11.9,3636,561,1
39,41,138906,48,11.4,14855,685,1
40,29,451363,36,9.7,3707,603,1
41,59,417198,60,10.5,5510,477,1
42,38,446180,48,10.2,4327,551,1
43,24,82902,48,12.7,20774,655,0
44,45,631365,60,11.7,2659,458,1
45,34,590734,36,14.1,7630,545,1
46,29,367044,24,8.5,28360,732,1
47,46,551965,12,11,3802,520,1
48,22,585797,48,14.4,6061,469,0
49,40,481046,48,17.3,2623,565,0
50,48,171097,48,8.8,14423,714,0
51,27,470300,36,13.4,4056,593,1
52,64,468098,24,16.6,6499,508,1
53,28,341109,12,15.5,6682,567,1
54,55,549212,36,10.2,7592,565,1
55,34,592539,48,10.1,5791,519,1
56,37,655307,36,16.3,3527,572,1
57,56,295832,36,5.5,20296,725,0
58,60,142176,60,13.3,26429,723,0
59,24,691490,36,12.2,2225,626,1
60,22,555910,36,14.9,7600,557,1
61,26,133093,48,12.2,13642,713,0
62,62,695853,36,17.5,4565,484,1
63,24,570853,48,11.8,5170,474,1
64,49,443536,60,14.2,5394,543,0
65,38,431110,60,11.4,2569,540,1
66,46,363045,24,12.4,2154,494,1
67,64,104884,60,10.6,16560,662,0
68,54,308507,36,15,4806,453,1
69,30,612569,36,16.6,7625,521,0
70,56,93926,36,11.3,22403,652,0
71,34,219170,72,10.9,29530,789,0
72,51,360984,36,12.8,3715,442,1
73,35,376563,36,13.7,7691,530,1
74,28,657845,48,10.6,2876,486,1
75,34,259184,36,8.4,16079,666,1
76,43,222258,24,9.9,26214,760,0
77,60,549433,24,10.8,2116,501,1
